action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1669599,[],CHEMBL859806,Inhibition of Her2 degradation in human breast cancer SKBr3 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,C#CCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21,,,CHEMBL1148576,J Med Chem,2006,,CHEMBL372962,,CHEMBL372962,7.00,0,http://www.openphacts.org/units/Nanomolar,417418,=,1,1,=,,IC50,nM,,100.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nmol/L,UO_0000065,,100.0
,,1669617,[],CHEMBL859806,Inhibition of Her2 degradation in human breast cancer SKBr3 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,C#CCCCn1c(Cc2cc(OC)c(OC)cc2Cl)nc2c(N)nc(F)nc21,,,CHEMBL1148576,J Med Chem,2006,,CHEMBL199505,,CHEMBL199505,4.52,0,http://www.openphacts.org/units/Nanomolar,417425,=,1,1,=,,IC50,nM,,30000.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nmol/L,UO_0000065,,30000.0
,,1669618,[],CHEMBL859806,Inhibition of Her2 degradation in human breast cancer SKBr3 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,C#CCCCn1c(Cc2cc(OC)c(OC)cc2Br)nc2c(N)nc(F)nc21,,,CHEMBL1148576,J Med Chem,2006,,CHEMBL372791,,CHEMBL372791,,0,http://www.openphacts.org/units/Nanomolar,417424,>,1,1,>,,IC50,nM,,50000.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nmol/L,UO_0000065,,50000.0
,,1669619,[],CHEMBL859806,Inhibition of Her2 degradation in human breast cancer SKBr3 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,C#CCCCn1c(Cc2cc(OC)c(OC)cc2I)nc2c(N)nc(F)nc21,,,CHEMBL1148576,J Med Chem,2006,,CHEMBL202777,,CHEMBL202777,,0,http://www.openphacts.org/units/Nanomolar,417423,>,1,1,>,,IC50,nM,,50000.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nmol/L,UO_0000065,,50000.0
,,1669620,[],CHEMBL859806,Inhibition of Her2 degradation in human breast cancer SKBr3 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,C#CCCCn1c(Cc2cc3c(cc2Cl)OCO3)nc2c(N)nc(F)nc21,,,CHEMBL1148576,J Med Chem,2006,,CHEMBL201683,,CHEMBL201683,6.52,0,http://www.openphacts.org/units/Nanomolar,417422,=,1,1,=,,IC50,nM,,300.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nmol/L,UO_0000065,,300.0
,,1669621,[],CHEMBL859806,Inhibition of Her2 degradation in human breast cancer SKBr3 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,C#CCCCn1c(Cc2cc3c(cc2Br)OCO3)nc2c(N)nc(F)nc21,,,CHEMBL1148576,J Med Chem,2006,,CHEMBL199283,,CHEMBL199283,6.68,0,http://www.openphacts.org/units/Nanomolar,417421,=,1,1,=,,IC50,nM,,210.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nmol/L,UO_0000065,,210.0
,,1669622,[],CHEMBL859806,Inhibition of Her2 degradation in human breast cancer SKBr3 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,C#CCCCn1c(Cc2cc3c(cc2I)OCO3)nc2c(N)nc(F)nc21,,,CHEMBL1148576,J Med Chem,2006,,CHEMBL377482,,CHEMBL377482,7.05,0,http://www.openphacts.org/units/Nanomolar,417420,=,1,1,=,,IC50,nM,,90.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nmol/L,UO_0000065,,90.0
,,1669623,[],CHEMBL859806,Inhibition of Her2 degradation in human breast cancer SKBr3 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,C#CCCCn1c(Sc2cc3c(cc2Br)OCO3)nc2c(N)ncnc21,,,CHEMBL1148576,J Med Chem,2006,,CHEMBL365159,,CHEMBL365159,6.44,0,http://www.openphacts.org/units/Nanomolar,417419,=,1,1,=,,IC50,nM,,365.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nmol/L,UO_0000065,,365.0
,,1669641,[],CHEMBL859806,Inhibition of Her2 degradation in human breast cancer SKBr3 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)NCCCn1c(Cc2cc3c(cc2I)OCO3)nc2c(N)nc(F)nc21,,,CHEMBL1148576,J Med Chem,2006,,CHEMBL200001,,CHEMBL200001,7.10,0,http://www.openphacts.org/units/Nanomolar,417428,=,1,1,=,,IC50,nM,,80.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nmol/L,UO_0000065,,80.0
,,1669642,[],CHEMBL859806,Inhibition of Her2 degradation in human breast cancer SKBr3 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)NCCCn1c(Sc2cc3c(cc2Br)OCO3)nc2c(N)ncnc21,,,CHEMBL1148576,J Med Chem,2006,,CHEMBL383189,,CHEMBL383189,6.69,0,http://www.openphacts.org/units/Nanomolar,417427,=,1,1,=,,IC50,nM,,205.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nmol/L,UO_0000065,,205.0
,,1669643,[],CHEMBL859806,Inhibition of Her2 degradation in human breast cancer SKBr3 cell line,F,,,BAO_0000190,BAO_0000219,cell-based format,CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21,,,CHEMBL1148576,J Med Chem,2006,,CHEMBL200102,PU-H71,CHEMBL200102,7.30,0,http://www.openphacts.org/units/Nanomolar,417426,=,1,1,=,,IC50,nM,,50.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nmol/L,UO_0000065,,50.0
,,2422723,[],CHEMBL961840,Inhibition of Hsp90 by FP ATP-site binding assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(C(=O)n2ncc3cc(N)ccc32)cc(OC)c1OC,,,CHEMBL1153818,J Med Chem,2009,"{'bei': '12.50', 'le': '0.23', 'lle': '1.76', 'sei': '4.62'}",CHEMBL510001,,CHEMBL510001,4.09,0,http://www.openphacts.org/units/Nanomolar,782781,=,1,1,=,,IC50,nM,,80760.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,uM,UO_0000065,,80.76
,,2512813,[],CHEMBL1021924,Binding affinity to human recombinant HSP90,B,,,BAO_0000190,BAO_0000357,single protein format,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](OC(=O)NN)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,,,CHEMBL1138518,J Med Chem,2009,"{'bei': '12.30', 'le': '0.24', 'lle': '6.78', 'sei': '3.89'}",CHEMBL449164,,CHEMBL449164,8.30,0,http://www.openphacts.org/units/Nanomolar,735247,=,1,1,=,,IC50,nM,,5.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,5.0
,,2617205,[],CHEMBL1020356,Binding affinity to Hsp90 in human SKBR3 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CO[C@H]1/C=C\C=C(/C)C(=O)NC2=CC(=O)C(NCCN(C)C)=C(C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '12.35', 'le': '0.24', 'lle': '5.71', 'sei': '4.49'}",CHEMBL383824,ALVESPIMYCIN,CHEMBL383824,7.62,0,http://www.openphacts.org/units/Nanomolar,778740,=,1,1,=,,IC50,nM,,24.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,24.0
,,2617211,[],CHEMBL1020360,Inhibition of Hsp90,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C[C@H]2O[C@@H]2/C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1,,,CHEMBL1154504,Bioorg Med Chem,2009,"{'bei': '21.11', 'le': '0.42', 'lle': '5.01', 'sei': '7.99'}",CHEMBL414883,RADICICOL,CHEMBL414883,7.70,0,http://www.openphacts.org/units/Nanomolar,778743,=,1,1,=,,IC50,nM,,20.0,CHEMBL4303,Homo sapiens,Heat shock protein HSP 90-beta,9606,,,IC50,nM,UO_0000065,,20.0
